漢字,華語
「捀斗上山頭」是大孫的任務。,「捧著裝神主牌的米斗送葬」是長孫的任務。
阮的工頭看起來猶閣真少年。,我們的工頭看起來還很年輕。
工頭工尾攏愛顧予好。,工作的開端和結尾都要照顧好才行。
伊的大頭拇予刀仔割著矣。,他的大拇指被小刀割到了。
伊食上濟。,他吃最多。
上濟錢了去爾爾。,頂多虧錢而已。
你講話毋好遐大聲。,你講話不要那麼大聲。
伊走去共𪜶頭家大聲。,他跑去跟他的老闆理論。
好大膽,好大的膽子
伊足愛講大聲話。,他很喜歡說自以為是的話。
我下擺毋敢矣！,我下次不敢了！
這个小嬸誠尊重大伯。,這位小嬸很尊重大伯。
男天平，女下顎。,看面相時，男性要看額頭，女性要看下巴。
無聊的時陣，就來變工藝。,無聊的時候就找些消遣來做。
伊去媽祖宮下願，講𪜶老母的病若會好，伊就欲倩一班歌仔戲來謝神。,他到媽祖廟去許願，說他媽媽的病如果能夠好起來，他就要請一團歌仔戲表演，以酬謝神明。
真大龐,塊頭真大
稻仔發甲誠大欉矣。,稻子長得很大棵了。
𪜶後生生做足大欉的。,他兒子長得很高大魁梧。
不孝,不孝
不幸,不幸
三不五時,偶爾
姑不將,不得已
丑時,凌晨一點到三點
小丑,小丑
做天嘛袂中眾人意。,天神也無法做到滿足所有人的願望。
中央,中間
學期中,學期中
夢中,夢中
中學,中學
中等,中等
中狀元,考上狀元
中大獎,中大獎
中毒,中毒
中計,中計
藥丹,丹藥
煉丹,煉丹
丹紅,赤色
爐丹,爐丹
人之初,人生的開始。三字經的首句。
我予你一个面子，這件代誌就準拄煞。,我給你一個面子，這件事就這樣算了。
我袂記得寫功課，毋才會予老師罵。,我忘了寫作業，所以才會被老師罵。
予伊去啦！莫插伊。,讓他去啦！別理他。
你予我考慮一下。,你讓我考慮一下。
坐予好,坐好
食予清氣,吃得乾淨
五領衫,五件衣服
五花十色,五光十色、各式各樣
五四三,有的沒有的事情
五穀,五穀
五香,五香
水井,水井
油井,油井
天井,中庭
仁者,仁者
蝦仁,蝦仁
目睭仁,瞳孔
卵仁,蛋黃
我揀的人攏是仁仁仁的。,我挑選的人都是很優秀的。
這粒塗豆真仁。,這顆花生很飽滿。
平仄,平仄
伊跋一下規个人仆落去。,他跌得整個人撲倒在地。
冤仇,仇恨
仇人,仇人
從到今,從前到現在、向來
今攏害了了矣！,如今全完蛋了！
今才,剛才
是啥人允你這件代誌的？,是誰答應你這件事情的？
厝內,家裡
腹內,肚子裡、內臟
一個月內,一個月之內
內公,祖父
內媽,祖母
內容,內容
內人,對他人稱自己的妻子
內兄,妻子的哥哥
內政,內政
內閣,內閣
公的,公的
阿公,爺爺、外公
祖公,男性祖先
天公,老天爺
孔子公,孔子
廟公,廟公
公海,公海
公物,公物
公務人員,公務人員
伊攏總生六个後生。,他總共生了六個兒子。
六親不認,形容不留情面或者是不講情義
冇柴,質地鬆軟的木柴
伊真冇手。,他花錢很大方。
頭毛縛了傷冗，強欲散去。,頭髮綁得太鬆，快要散掉了。
最近手頭較冗，想欲加買幾領仔新衫。,最近手頭比較寬裕，想要多買幾件新衣服。
索仔冗去矣，愛重縛。,繩子鬆掉了，要重綁。
錢愛紮較冗咧。,錢要帶多一點。
時間閣真冗。,時間還很充足。
凶兆,不祥的預兆
散凶,貧窮
凶年,飢荒之年
一分鐘,一分鐘
一分錢,一分錢
三分天註定，七分靠拍拚。,三分天注定，七分靠努力。取自流行歌曲歌詞。
𪜶爸仔囝佇車頭分開。,他們父子在車站分手。
分帖仔,發帖子
分簿仔,發簿子
這箱柑仔予恁去分。,這箱橘子給你們分配。
一半分你,分你一半
好心的頭家！十箍銀來分我好無？,好心的老闆！可以施捨十塊錢給我嗎？
彼个乞食逐工攏去車頭共人分。,那個乞丐每天都去車站向人乞討。
家己若袂生，會使去分別人的囡仔來飼。,自己若是生不出孩子，乾脆去領養別人家的孩子。
分人做新婦仔。,給人領養當童養媳。
伊共西瓜切做四塊。,他把西瓜切成四塊。
一勻塗,一層土
頂下勻,前後輩份
彼隻露螺的頭勼入去殼內底矣。,那隻蝸牛的頭縮進殼裡面去了。
勼跤勼手,畏首畏尾
你去共交落佇眠床跤的物件勾出來。,你去將掉在床底下的東西勾出來。
彼个查某真𠢕用目睭共人勾。,那個女人很會用眼神引誘別人。
你袂曉寫的題目就先勾起來。,你不會寫的題目先打勾作記號。
伊咧做中人，你若欲買厝就去揣伊。,你如果要買房子，就去找他當介紹人。
我都允人矣，袂使反悔。,我已經答應人家了，不能反悔。
內山姑娘欲出嫁。,山裡的姑娘要出嫁了。流行歌曲名。
伊足有內才的。,他很有內涵。
毋通交不三不四的朋友。,不要結交不正經的朋友。
貓的奸臣，鬍的不仁。,麻臉的人必奸，滿臉鬍子的人不仁厚。
伊真五仁。,他很詼諧。
激五仁,說笑話、插科打諢
五仁月餅,五仁月餅
𪜶內公是醫生。,他的祖父是醫生。
遮的餅予恁兩个人公分。,這些餅乾讓你們兩個人平分。
你有幾公分懸？,你幾公分高呢？
這條路真歹行，你著勻勻仔行。,這條路很難走，你要慢慢地走。
用勻勻仔火落去煮。,用小火慢煮。
這領洋裝不止五千箍。,這件洋裝不只是五千元而已。
文化中心,文化中心
伊是一个外表土直、內心溫柔的人。,他是一個外表粗魯直率、內心溫柔的人。
伊用錢真冇手。,他用錢很大方。
未曾做就勼手，實在無路用。,還沒開始做就停止，實在很沒用。
這領衫洗了勼水去矣。,這件衣服洗過以後變得縮小了。
照品照行，袂使勼水。,按預先講好的來做，不可縮水。
紅嬰仔無六月天。,嬰兒無六月天。意為嬰兒抵抗力弱，容易感冒，即使在六月大熱天也要保暖，不得疏忽。
你穿這領衫閣不止仔媠。,你穿這件衣服相當漂亮。
今年六月冬稻仔誠飽穗。,今年第一期稻作稻穀很飽滿。
作穡人佇六月冬攏會較無閒。,農夫們在六月的收穫季都會比較忙。
阮小弟上愛看丑仔表演。,我弟弟最愛看丑角表演。
我今仔才入門爾爾。,我才剛剛進門而已。
今仔日是我的生日。,今天是我的生日。
你著勻仔是，毋通食緊挵破碗。,你要慢慢來，以免欲速則不達。
中古車,中古車
中古時代,中古時代
無公平,不公平
伊講欲中立，兩爿攏無愛參加。,他說要中立，兩邊都不參加。
丹田無力,氣虛
公用電話,公共電話
你愛提予伊好。,你要拿好。
這件代誌你愛講予伊知。,這件事你要讓他知道。
代誌會成袂成，介在你欲做毋做。,事情能否成功，在於你是否願意去做。
公共場所,公共場所
伊今年十歲。,他今年十歲。
這種代誌你毋就冗早講，這馬欲反悔已經袂赴矣。,這種事你應該要趁早講，現在要反悔已經來不及了。
謼！伊哪會遮不死鬼！,天啊！他怎麼這麼不要臉！
我對汽車真內行。,我對車子很在行。
若講著車，伊是內行的。,說到車子，他可是行家。
雖然今仔日是風颱天，不而過你嘛是愛去做工課。,雖然今天是颱風天，不過你還是得去工作。
伊不但寄付錢，閣去做義工。,他不只捐錢，還去當義工。
逐家攏有通分伻，毋免相爭。,大家都分配得到，不用相爭。
咱共伊鬥分伻淡薄仔，伊較袂遐忝。,大家幫他分擔一點，他比較不會那麼累。
這對雙生仔到底啥人是啥人，我實在無法度分別。,這對雙胞胎到底誰是誰，我實在沒辦法辨別。
伊真不孝。,他很不孝順。
不孝囝,不孝子
我實在無法度分身來處理別人的代誌。,我實在沒辦法分身來處理別人的事情。
伊是本尊，毋是分身。,他是本尊，不是代理人。
公事著愛照起工做。,公事要照規矩做。
這跤皮箱內底貯啥物？,這只皮箱裡面裝什麼東西？
伊佇公所食頭路。,他在鄉鎮市公所工作。
伊做𤆬頭的，有誠濟人不服。,他當帶頭的，有很多人不服。
你分明是咧騙我，著無？,你很明顯地是在騙我，對不對？
不法之徒,違反法律規範的人
伊是分的。,他是收養的。
遮的蔥仔是我共人分的。,這些蔥是我跟別人要來的。
遮的工課攏交予你來分派。,這些工作都交給你來分派。
伊咧騙你，你毋通中計。,他在騙你，你不要落入圈套。
有穿內衫加較衛生。,穿內衣比較衛生。
裘仔內面愛閣加穿一領膨紗衫才袂寒。,大衣裡面還要再穿一件毛衣才不會冷。
無我的允准，你袂使來阮兜。,沒有我的准許，你不可以來我家。
這个是內孫，毋是外孫。,這是直系孫子，不是外孫。
這本冊的內容真淺，囡仔人嘛看有。,這本書的內容很淺顯，小孩子也看得懂。
公家機關,公家機關
公家代誌,公共事務
這條錢是逐家公家出的。,這筆錢是大家一起出的。
伊不時嘛咧讀冊。,他經常在讀書。
你看著哪會遐爾仔無元氣？,你看起來怎麼會那麼沒有精神呢？
我來分配恁逐家的工課。,我來分配你們大家的工作。
暗時坐佇窗仔門邊，我攏有看著五彩的燈火閃閃爍爍。,晚上坐在窗邊，我都可以看到五彩繽紛的燈光閃爍不停。
這个囡仔誠分張。,這個小孩很慷慨大方。
少年人毋通食毒，若無，代誌會不得了。,年輕人不要去吸食毒品，不然會很嚴重。
伊英語講甲削削叫，真正不得了。,他的英文說得很流利，真是了不得。
我會按呢做攏是不得已的。,我會這樣做都是不得已的。
十二點欲食中晝矣！,十二點要吃午餐了！
中晝飯食飽就好歇睏，毋通閣咧外口四界趖。,午飯吃飽了就該休息，不要又在外面到處閒晃。
你敢有食中晝頓？,你有沒有吃午餐？
警察愛保護公眾的安全。,警察要保護大眾的安全。
我來介紹恁兩个熟似。,我來引薦你們兩個認識。
介紹新產品,引進新產品
我行到中途就拄著伊矣。,我走到半路就遇見他了。
代誌已經做一半矣，你袂當佇中途反悔毋做。,事情已經做了一半了，你不能中途就反悔不做。
這是公司內部的問題。,這是公司內部的問題。
這月日趁較有錢，生活會較冗剩。,這個月錢賺得多，生活較寬裕。
兄弟攏分散了了矣。,兄弟各分東西了。
受訓了後，逐家會分發去無仝的單位。,受訓之後，大家會分發到不同單位。
伊的成績中等，毋是蓋䆀。,他的成績中等，不會太差。
伊佮烏道勾結。,他和黑道勾結。
你莫見講攏是一寡不答不七的話。,你別老說一些不三不四的話。
伊決定欲公開所有的代誌。,他決定要公開所有的事情。
伊公開展覽伊的私人花園。,他把他的私人花園公開展覽。
年節時仔，庄頭做戲的錢攏是規庄頭公開的。,過年過節的時候，村莊裡頭請戲班子來演戲的錢都是大家一起分攤的。
這个是內媽，外媽蹛佇宜蘭。,這個是奶奶，外祖母住在宜蘭。
拜公媽,祭拜祖先
一人一家代，公媽隨人祀。,一人一個家庭，祖先牌位各自供奉；謂兄弟分家後，各管各的事，互不相干。
就算講你無中意，阮嘛無法度。,就算你不滿意，我們也沒辦法。
不義之財,不義之財
我這領衫的內裡破去矣。,我這件衣服的裡子破掉了。
代誌做猶未一半，袂當勼跤。,事情做不到一半，不能就此縮手。
臺北車頭內面五路的人攏有。,臺北車站裡面有各地來的人。
里長伯仔做人真公道。,里長伯做人很公正。
價錢真公道。,價錢很合理。
你有啥物不滿，做你講出來。,你有什麼不滿，儘管說出來。
有代誌不管時攏會使來揣我。,有事情隨時都能來找我。
伊有一筆冇數，到今猶收袂轉來。,他有一筆呆帳，到現在還是收不回來。
你著細膩，毋通公親變事主。,你要小心，免得調解間反而變成當事人。
乞食欲來分錢矣。,乞丐要來要錢了。
林公館,林宅
公館鄉,位於苗栗縣內
這頓飯逐家做伙分攤。,這頓飯的飯錢大家一起均攤。
人的五臟六腑攏是真重要的。,人的內臟是很重要的。
火化去矣。,火熄滅了。喻指「沒力了、沒勁了」，也可引申為表示「慘了、糟了、完蛋了」等意思。
阿公的病重甲強強欲化去矣！,爺爺的病嚴重到快要死了！
化痰,化除痰液
火化,火化
大事化小事，小事化無事。,大事盡量化解成小事，小事盡量化解成沒事。
風雨快過，言語僫化。,風雨很快就會過去，言語不當，很難消除。
一匹布,一匹布
單槍匹馬,單槍匹馬
一升米,一升米
米升,升斗
升天,升天
升旗,升旗
伊升起來做主任矣。,他升遷當主任了。
升官發財,升官發財
午時,上午十一點到下午一點
